IMIĘ;NAZWISKO;TELEFON;ADRES_MAIL;TELEFON_ALA
ANTONI;NOWAK;484336965;ANTONI$NOWAK85@wp.pl;199690892
JAKUB;KOWALSKI;534321170;JAKUB.KOWALSKI13@gmail.com;532069929
JAN;WIŚNIEWSKI;972216546;JAN_WIŚNIEWSKI72@wp.pl;814934325
SZYMON;WÓJCIK;606183452;SZYMON$WÓJCIK63@wp.pl;840020408
ALEKSANDER;KOWALCZYK;738221257;ALEKSANDER_KOWALCZYK98@gmail.com;875981833
FRANCISZEK;KAMIŃSKI;285727776;FRANCISZEK.KAMIŃSKI45@gmail.com;312820058
FILIP;LEWANDOWSKI;611423440;FILIP_LEWANDOWSKI23@gmail.com;269311267
WOJCIECH;ZIELIŃSKI;292461913;WOJCIECH.ZIELIŃSKI89@wp.pl;293318175
MIKOŁAJ;WOŹNIAK;349875496;MIKOŁAJ_WOŹNIAK66@wp.pl;530851082
KACPER;SZYMAŃSKI;754586632;KACPER.SZYMAŃSKI68@gmail.com;773337011
ADAM;DĄBROWSKI;817606448;ADAM.DĄBROWSKI85@outlook.com;942123256
STANISŁAW;KOZŁOWSKI;147908433;STANISŁAW$KOZŁOWSKI74@wp.pl;995826923
MARCEL;MAZUR;396986667;MARCEL_MAZUR84@outlook.com;182890205
MICHAŁ;JANKOWSKI;956520123;MICHAŁ_JANKOWSKI91@gmail.com;352768522
LEON;KWIATKOWSKI;744383850;LEON_KWIATKOWSKI60@outlook.com;845672363
NIKODEM;WOJCIECHOWSKI;270614789;NIKODEM.WOJCIECHOWSKI76@wp.pl;576962103
IGNACY;KRAWCZYK;845170536;IGNACY_KRAWCZYK5@gmail.com;674615053
WIKTOR;KACZMAREK;823282565;WIKTOR.KACZMAREK91@outlook.com;390825999
TYMON;PIOTROWSKI;791986074;TYMON$PIOTROWSKI29@gmail.com;502536095
IGOR;GRABOWSKI;957468987;IGOR$GRABOWSKI16@outlook.com;934704281
PIOTR;ZAJĄC;680275445;PIOTR_ZAJĄC47@outlook.com;471743678
OLIWIER;PAWŁOWSKI;538306648;OLIWIER_PAWŁOWSKI19@wp.pl;674121851
MAKSYMILIAN;KRÓL;916845269;MAKSYMILIAN$KRÓL15@wp.pl;791810563
MIŁOSZ;MICHALSKI;324711576;MIŁOSZ_MICHALSKI75@outlook.com;561742160
BARTOSZ;WRÓBEL;235085038;BARTOSZ_WRÓBEL77@gmail.com;756575604
TYMOTEUSZ;WIECZOREK;415130672;TYMOTEUSZ$WIECZOREK62@outlook.com;324622235
MATEUSZ;JABŁOŃSKI;779050722;MATEUSZ.JABŁOŃSKI45@wp.pl;627834241
OSKAR;NOWAKOWSKI;790447579;OSKAR_NOWAKOWSKI36@wp.pl;158419779
DAWID;MAJEWSKI;522810394;DAWID.MAJEWSKI37@gmail.com;477861059
JULIAN;OLSZEWSKI;798566518;JULIAN_OLSZEWSKI80@wp.pl;646216519
KRZYSZTOF;DUDEK;972986895;KRZYSZTOF.DUDEK46@gmail.com;969005985
TOMASZ;JAWORSKI;404010468;TOMASZ$JAWORSKI55@gmail.com;286808876
ALAN;STĘPIEŃ;620442551;ALAN_STĘPIEŃ61@gmail.com;169819045
KAROL;MALINOWSKI;815415360;KAROL.MALINOWSKI13@wp.pl;411656823
DOMINIK;ADAMCZYK;980137431;DOMINIK_ADAMCZYK82@wp.pl;936111435
